product,dwb_asset_category,dwb_asset_type,dwb_unit,lr_rule,fee_parameter,Search Terms
Backflow Preventer Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Ball float type steam trap,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
BALL TRAP BODY,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Ballast control Console,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Ballast Water Management System,Ballast Water Treatment System (CLASS),Machinery Equipment,q'ty,,Section 5.7,ballast water treatment
Bare Type Heating Coil,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Barrel,Pump Barrel,Engine & Propulsion Components,batch,CLASS MACH Part 5,q'ty,pumps machinery
Bearing cover crankpin,Cast iron as rough machined,Materials,,,Section 4.2,iron castings spheroidal graphite
BEARING COVER UNDERSIZE,Bearing Caps,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bearings lubrication
Bearing Shell,Bearing Caps,Engine & Propulsion Components,batch,,Section 10.9,bearings lubrication
Bed & Frame,structure,Hull equipment,batch,,Section 8.5,structural arrangements scantlings
bed plate,Engine Bedplate,Engine & Propulsion Components,,,Time base,engine structural components
BILGE PRIMARY TANK WITH HEATING COIL,Tank,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.11,tank structural test
BLADDER ACCUMULATOR,Accumulator for VRCS (Valve Remote Control System),Machinery Equipment,batch,,q'ty,hydraulic accumulator
Bladder Type Accumulator,Accumulator for VRCS (Valve Remote Control System),Machinery Equipment,Batch,,,hydraulic accumulator
Blank plate,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,,Section 12.7,pipe fittings
Blow Off Valve,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,,,Section 10.9,fuel injection valve
BOG Compressor,Reciprocating Compressors,Machinery Equipment,pcs,CLASS MACH Part 5,capacity(m3/hr),air compressor pressure
BOG Compressor Skid Control Panel,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
BOG Compressor Skid Unit,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
BOG COMPRESSOR SYSTEM,Starter,Electrical Equipment & Component,pcs,,Section 5.8,motor control gear
BOG PIPE FOR AUX BOILER,Double wall pipe spools,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,double wall piping
BOG Pipe Piece,Double wall pipe spools,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,double wall piping
BOILER F.O SUPPLY UNIT,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
BOSS,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
"Boss, Flange","Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,,Section 12.7,pipe fittings
BOSUN STORE DAVIT,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Bottom piece,Hydraulic block or cylinder,Engine & Propulsion Components,,,,hydraulic cylinder pressure
Bow thruster,Bow Thruster (Auxiliary),Hull equipment,pcs,CLASS MACH Part 5,Section 8.3,thruster propulsion
BOW THRUSTER STARTER,Starter,Electrical Equipment & Component,pcs,,Section 5.8,motor control gear
Bridge Control Console (BCC),Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Bridge Wing Console,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Bucket Strainer,Strainer,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.9,filters strainers
BUNKERING STATION SKID,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
"Burner Control Unit for LP SCR,",Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Butterfly valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Butterfly valve Body,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
BUTTERFLY VALVE LUG TYPE,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Butterfly Valves,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
By pass Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
CAPSTAN,Mooring and towing,Outfitting Equipment & Component,pcs,CLASS HULL Parts 2 & 3,Cable dia(mm),mooring towing arrangements
"Carbon Pipe Fittings(elbow, tee, reducer, etc)","Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
CARBON SEAMLESS PIPE,Pipes and Tubes,Materials,kg,,Section 4.5 or Section 4.6,pipes tubes material
Carbon Steel Pipe ,Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.5 or Section 4.6,pipes tubes material
Carbon Steel Pipe Spool,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Carbon/Stainless Steel Pipe Fitting,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Cargo Control Console,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Cargo Economizer,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Cargo M/C Room Seervice Crane,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Cargo Monitoring System,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,,Section 5.7,control alarm monitoring systems
Cargo Pump Trunk,Structure,Hull equipment,,,,structural arrangements scantlings
Cargo reducing piece,piping,Machinery Equipment,batch,,Section 10.10,piping system design pressure
Cargo switchboard,Main switchboard,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.6,main switchboard busbar
Casting for Butterfly Valve Body,Cast iron as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,iron castings spheroidal graphite
Casting for copper plate,Copper  alloy casting as cast,Materials,kg,CLASS MACH Part 5,Section 4.2,copper alloy castings
Casting for Valve,Copper alloy casting as cast,Materials,kg,,Section 4.2,copper alloy castings
casting for Valve bosy and bonnet,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Central F.W Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
Centrifugal Pump,"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
CENTRIFUGAL TYPE for BALLAST PUMP,"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
CENTRIFUGAL TYPE for CARGO COOLING S.W. PUMP,"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
Chain Block,Statement of work,Other Services,,,,
CHAIN COMPRESSOR,Chain Stopper for Windlass,Outfitting Equipment & Component,batch,,Section 8.9,chain stopper
"CHAIN STOPPER, FLAIEAD, STRONG POINT, & CHOCK FOR EMERGENCY TOWING SYSTEM (ETS)",Mooring and towing,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 8.9,mooring towing arrangements
Chain Wheel,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
"CHANNEL, U-FRAME and SUS PLATE for LIQUID DOME",Bolts,Engine & Propulsion Components,batch,,Section 10.9,bolts securing arrangements
charcoal Filter,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
CLOSED CHOCK,Steel Castings as Final Machined,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
CO2 Manifold,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
CO2 Manifold Pipe,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Cold provisions chamber,Statement of work,Other Services,pcs,,hour,
COMPACT TYPE BALL VALVE,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Composite Boiler LSMGO Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
Compressor Room Service Crane,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Con Flange Valve Body,Steel Casting as rough machined,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Con Rod Bolt,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
Con Rod Screw,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
Condensate Accumulator,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Condensate Flash Drum,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Connecting Rod,Connecting Rod,Engine & Propulsion Components,,,Section 4.3,connecting rod engine
CONROD AS FORGED,Steel forgings as forged,Materials,batch,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Control Air Compressor,Screw compressors,Machinery Equipment,pcs,CLASS MACH Part 5,capacity(m3/hr),screw compressor
CONTROL AIR RESERVOIR,Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
Control Air Reservoir for EGR,Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
Control Oil High Pressure Pipe,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
control panel for Elec. Glycol heater,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Control Panel for Fixed Local Application Fire-Fighting System,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Control Panels for EGCS,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Control Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Conventional Safety Relief Valve,Cryogenic Valve,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves low temperature service
Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
COOLING JACKET,Cooling Jacket,Engine & Propulsion Components,batch,CLASS MACH Part 5,q'ty,engine cooling water
Copper Alloy ,Pipes and Tubes,Materials,kg,,Section 4.5 or Section 4.8,pipes tubes material
"Copper alloy valve, cast bronze valve",Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
COPPER AOLLY casting for valve body,Copper  alloy casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,copper alloy castings
Copper Pipe and Tube ,Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.5 or Section 4.8,pipes tubes material
Copper Tube,Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.5 or Section 4.8,pipes tubes material
Coupling Bolts,Coupling Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,coupling bolts shafting
Cover for Bleed Valve / Connecting Piece for Bleed Valve,Hydraulic block or cylinder,Engine & Propulsion Components,batch,,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Cover for piston_GAS ADMISSION VALVE,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,,,Section 10.9,fuel injection valve
"COVER, FLANGE, TUBESHEET, COUPLING","Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Crank Pin Bolt,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
Crank shaft,Cast iron as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,iron castings spheroidal graphite
Crank Shaft for Air Compressor,Steel forgings as final machined,Materials,batch,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Crank Throw for Engine,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Crankshaft,Crankshaft (Forged),Engine & Propulsion Components,pcs,,Section 4.3 or Section 7.6,crankshaft design
CRB Flange,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
crosshead bearing cap for M/E,Bearing Caps,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bearings lubrication
Crosshead bearing cover for M/E,Bearing Caps,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bearings lubrication
Crosshead Bearing(upper/Lower) for M/E,bearings,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bearings lubrication
Crosshead pin,Crosshead pin,Engine & Propulsion Components,batch,CLASS MACH Part 6,Section 4.3,crosshead pin engine
Cryogenic Safety Relief Valve (Conventional & Pilot Type),Cryogenic Valve,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves low temperature service
Cryogenic Safety Valve,Cryogenic Valve,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves low temperature service
Cryogenic Valve,Cryogenic Valve,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves low temperature service
Cryogenic Y-strainer,Strainer,Machinery Equipment,batch,,Section 10.9,filters strainers
Custody Transfer System & Tank Overfill Protection System,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,,Section 5.7,control alarm monitoring systems
Cylinder Cover,Cylinder Head (Forged),Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 4.3,cylinder head engine
Cylinder cover,Steel forging as Rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Cylinder Head Bore,Cylinder Head (Cast),Engine & Propulsion Components /,batch,,Section 4.2,cylinder head engine
Cylinder Liner,Cylinder Liner,Engine & Propulsion Components,batch,,Section 4.2,cylinder covers
Cylinder Tube for Steering Gear,Hydraulic block or cylinder (Lifting Appliances),Lifting Appliances,batch,Lifting Appliances,Liter,hydraulic system components
Cylinder Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Cylinder Valve (Steam Trap),Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
"Cylinder, Cylinder Head for Air Compressor",Cast Iron as Final Machined,Materials,kg,CLASS MACH Part 5,Section 4.2,iron castings spheroidal graphite
Davit,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
DAVIT FOR STEERING GEAR ROOM,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Davit(Trolley type),Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Discharge cooler,Heat Exchanger Shell Type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
DOUBLE WALL GAS (PIPE with) BELLOWS(Expansion Joint),Double wall pipe spools,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,double wall piping
Double wall pipe,Double wall pipe spools,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,double wall piping
Double wall pipe spool,Double wall pipe spools,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,double wall piping
"Drain Chamber, Discharge pipe for Air Compressor",Piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Drum type heating coil,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
DRY POWDER TANK,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Dry-Transformer,Transformer,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,kVA,transformer winding insulation
Dual Plate Check Valve,Cryogenic Valve,Machinery Equipment,batch,,Section 10.5,valves low temperature service
Dual Plate Check Valve,valves,Machinery Equipment,batch,,Section 10.5,valves fittings piping
DUCT FOR BOW THRUSTER,Bow thruster duct,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 8.5,side thruster
Dump/Drain Cooler,Heat exchanger shell type,Pressure Vessels,pcs,,Section 12.4,heat exchangers
Duplex / Simplex Oil Strainer,Strainer,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.9,filters strainers
Duplex Stainless Steels Casting for Y-Strainer Body and Cover,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Dynamic-A,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,,Section 5.7,control alarm monitoring systems
E/R Overhead Crane,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
ECC,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Elbow,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Elbow ERW,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Elbow for pressure vessel,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Elbow SML,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
"Elbow, reduce, fitting","Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
"Elbow, Reducer, Fitting","Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Elec. Chain Hoist,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Elec. Heater for L.O purifier,Fuel /Lub Oil Purifier Heaters,Pressure Vessels,pcs,CLASS MACH Part 6,"Area(Cooling surface, m2)",oil heater pressure vessel
Electo-Hyd. Actuator,Actuator for valve,Machinery Equipment,batch,CLASS MACH Part 5,Valve Dia (mm),valve actuator remote
ELECTRIC FREQUENCY CONVERTER(VFD) FOR SCRUBBER SYSTEM,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
Electrical cables,Electrical cables,Electrical Equipment & Component,Batch,,Section 5.3,electric cables construction
Electro Chamber Module,statement of works,other service,,,,
Electro-Hydraulic Steering Gear,Steering gear,Outfitting Equipment & Component,pcs,CLASS MACH Part 5,R/Stock Dia(mm),steering gear rudder actuator
Elevator,Passenger and crew lift,Lifting Appliances,pcs,Lifting Appliances,hour,passenger lift
EM'CY CARGO PUMP HANDLING DAVIT,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
EM'CY G/E MGO TANK / CASCADE TANKS WITH OBSERVATION TANK,Tank,Machinery Equipment,pcs,"CLASS MACH Part 5
CLASS HULL Parts 2 & 3",Section 10.11,tank structural test
Em'cy Pressure Relief Hatch,Statement of work,Other Services,pcs,,,
Em'cy Shut-off Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Em'cy Towing System with Escorting Pull Back System (AFT),Mooring and towing,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,q'ty,mooring towing arrangements
Em'cy Towing System(FWD),Mooring and towing,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,q'ty,mooring towing arrangements
Emergency switchboard,Emergency switchboard,Electrical Equipment & Component,pcs,,Section 5.6,Emergency switchboard
Enclosure for Gas Regulating Unit,Enclosure for Gas Valve unit,Machinery Equipment,batch,,Time base,gas valve unit
END COVER,Top piece for engine,Engine & Propulsion Components,batch,,q'ty,engine structural components
End Plate,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 7,Section 12.7,pipe fittings
Energy Saving System for MCSW Pump,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
ENGINE CONTROL CONSOLE,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Engine Room Crane,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Engine room fan control panel,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Engine room supply fan control panel,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
ERW Pipe (LR Approved Manufacturer),Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.6,pipes tubes material
ERW Pipe (Survey requested by distributor company (not LR Approved mill maker)),Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.5,pipes tubes material
